mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,tackle_name,team,n
1.77478,5.97704,-6.81392,15.78963,2.45104,1.86685,7.89465,15.10288,1.92649,Alejandro Villanueva,BAL,39
1.30939,5.98142,-6.62277,15.96339,2.45151,1.8434,7.89658,15.26446,1.87174,Alex Bars,CHI,5
1.83464,5.97829,-6.5034,16.0824,2.45133,1.86895,7.89296,15.14901,1.92056,Alex Leatherwood,LV,18
1.95032,5.97802,-6.34513,16.25397,2.45211,1.87432,7.88963,15.27642,1.92621,Andre Dillard,PHI,21
1.48023,5.98093,-6.67199,15.92021,2.45086,1.85238,7.88471,14.87914,1.87752,Andre Smith,BAL,4
1.54745,5.97873,-6.68654,15.90074,2.45116,1.85649,7.8931,15.18497,1.92988,Andrew Thomas,NYG,20
1.57432,5.97723,-6.70865,15.88272,2.45095,1.85763,7.89408,14.92093,1.9102,Andrew Whitworth,LA,16
1.91087,5.97724,-6.45504,16.14281,2.45085,1.87244,7.89084,14.9979,1.91005,Austin Jackson,MIA,13
2.27378,5.97616,-6.03674,16.51349,2.45128,1.88573,7.89447,14.94472,1.92452,Billy Turner,GB,25
2.00004,5.97509,-6.31818,16.26544,2.45071,1.87579,7.88727,14.88551,1.92007,Blake Hance,CLE,19
1.70288,5.97949,-6.501,16.15323,2.45125,1.86354,7.89223,15.72618,1.88724,Bobby Hart,TEN,7
1.77798,5.97657,-6.58584,15.97085,2.45109,1.86666,7.8878,15.20671,1.91826,Bobby Massie,DEN,25
2.0908,5.9787,-6.25551,16.33892,2.45088,1.87872,7.89302,15.13622,1.89411,Braden Smith,IND,7
1.71794,5.97706,-6.48344,16.08319,2.45025,1.86327,7.89288,14.97854,1.89931,Brady Christensen,CAR,9
1.74556,5.97779,-6.47547,16.11237,2.45054,1.86494,7.89671,15.08109,1.89939,Brandon Parker,LV,11
1.95834,5.98031,-6.3244,16.26691,2.45184,1.87502,7.88902,14.78804,1.9125,Brandon Shell,SEA,20
1.91659,5.97641,-6.33761,16.28049,2.45001,1.8718,7.8977,15.13436,1.91679,Brian O'Neill,MIN,25
2.09619,5.99199,-5.95922,16.56895,2.45022,1.87585,7.89276,15.49068,1.8214,Bryan Bulaga,LAC,1
2.21111,5.97965,-5.93855,16.68205,2.45093,1.88384,7.88945,15.27981,1.85945,Calvin Anderson,DEN,3
1.92714,5.97626,-6.30808,16.26225,2.4509,1.87306,7.88852,15.19636,1.92529,Cam Robinson,JAX,27
1.77497,5.97759,-6.54234,16.05781,2.45134,1.86667,7.89101,15.2103,1.92618,Cameron Erving,CAR,31
1.68084,5.97903,-6.80863,15.755,2.44968,1.86093,7.89154,15.60503,1.89452,Cedric Ogbuehi,SEA,4
1.95948,5.97504,-6.27373,16.30334,2.45029,1.8731,7.88725,15.18279,1.93043,Charles Leno,WAS,24
1.62504,5.97734,-6.71749,15.88414,2.45092,1.86057,7.88891,15.31495,1.90937,Charlie Heck,HOU,11
1.50716,5.97728,-6.69282,15.89456,2.45054,1.85352,7.89405,14.78385,1.9048,Christian Darrisaw,MIN,9
1.74534,5.98092,-6.20521,16.39218,2.45224,1.86662,7.88404,15.00108,1.89767,Christopher Hubbard,CLE,6
2.04042,5.97568,-6.21685,16.3793,2.45058,1.8765,7.88636,15.38776,1.91008,Chukwuma Okorafor,PIT,11
2.26025,5.97446,-5.844,16.71722,2.44994,1.88355,7.89053,15.18424,1.90235,Cornelius Lucas,WAS,12
1.6972,5.97649,-6.57575,16.00997,2.45124,1.8637,7.89068,15.23308,1.92879,D.J. Humphries,ARI,39
1.86944,5.97677,-6.40263,16.1849,2.45123,1.87097,7.89328,15.31171,1.92346,Dan Moore,PIT,32
1.80458,5.97704,-6.33895,16.26947,2.45058,1.8675,7.89625,14.98832,1.91756,Daryl Williams,BUF,22
0.96242,5.99577,-7.1354,15.49988,2.45189,1.82613,7.891,15.3784,1.81501,David Njoku,CLE,1
1.76143,5.97748,-6.47007,16.07354,2.45145,1.86624,7.88988,15.38788,1.9211,David Quessenberry,TEN,30
2.39226,5.99602,-5.8857,16.78213,2.45333,1.88999,7.9089,14.68371,1.79104,David Sharpe,BAL,1
1.91669,5.97869,-6.46204,16.11023,2.45198,1.87369,7.88825,14.97621,1.92087,Dion Dawkins,BUF,42
1.96618,5.97824,-6.21744,16.36236,2.45129,1.87491,7.89123,15.10433,1.9267,Donovan Smith,TB,44
2.05672,5.97871,-6.0204,16.59447,2.45129,1.8781,7.89446,15.1978,1.91661,Duane Brown,SEA,19
1.73819,5.97975,-6.47097,16.07929,2.45194,1.8658,7.89728,14.96821,1.90331,Elgton Jenkins,GB,13
1.90421,5.98229,-6.24566,16.33187,2.45203,1.87251,7.89033,15.23942,1.87925,Elijah Wilkinson,CHI,5
1.62565,5.97813,-6.67462,15.88228,2.45133,1.86001,7.89465,14.87943,1.92362,Eric Fisher,IND,28
1.77252,5.97728,-6.50101,16.08324,2.45129,1.86659,7.88919,15.34893,1.92267,Garett Bolles,DEN,32
2.12908,5.97738,-6.14696,16.45399,2.45136,1.88045,7.8921,15.35455,1.92628,George Fant,NYJ,32
1.69713,5.97974,-6.53512,16.06469,2.45227,1.86438,7.88779,15.35213,1.91832,Germain Ifedi,CHI,19
1.64455,5.97521,-6.92844,15.68864,2.45006,1.85924,7.88511,15.17272,1.89731,Geron Christian,HOU,7
2.18124,5.97889,-6.04079,16.55498,2.45151,1.88305,7.88787,15.09269,1.92424,Isaiah Wynn,NE,18
1.66705,5.97508,-6.31925,16.25691,2.44983,1.86074,7.89239,14.99768,1.90834,Jack Conklin,CLE,16
2.31363,5.98382,-6.29818,16.32164,2.45218,1.88771,7.89553,14.65643,1.89597,Jack Driscoll,PHI,5
1.59168,5.98929,-6.71535,15.85319,2.45257,1.86138,7.88965,15.37705,1.86534,Jake Curhan,SEA,3
1.71908,5.97841,-6.53755,16.03154,2.45158,1.86486,7.89042,15.22443,1.92991,Jake Matthews,ATL,25
2.20316,5.98124,-5.96839,16.58697,2.44948,1.88045,7.89781,14.86723,1.85761,Jamarco Jones,SEA,3
1.5412,5.98042,-7.14111,15.52283,2.45176,1.85581,7.89155,14.92035,1.90569,James Hudson,CLE,9
1.75437,5.9788,-6.5356,16.04304,2.45123,1.86503,7.89619,15.57429,1.90728,James Hurst,NO,12
1.75833,5.97725,-6.61991,15.94472,2.45091,1.86561,7.89343,15.17318,1.92431,Jason Peters,CHI,27
1.83355,5.97807,-6.47112,16.11627,2.45151,1.87052,7.89246,15.20244,1.91569,Jawaan Taylor,JAX,20
1.81046,5.97654,-6.38922,16.23336,2.45036,1.86813,7.89182,15.03235,1.91123,Jaylon Moore,SF,13
1.88308,5.97667,-6.35102,16.26919,2.45107,1.87174,7.8945,15.11324,1.91457,Jedrick Wills,CLE,24
2.07149,5.97717,-6.12931,16.48273,2.45077,1.87764,7.89229,15.42417,1.90623,Jesse Davis,MIA,21
1.86763,5.98182,-6.5248,16.09269,2.45274,1.87152,7.88506,15.79234,1.87867,Joe Haeg,PIT,5
1.95623,5.97946,-6.29829,16.29868,2.45123,1.87505,7.89564,15.46041,1.91727,Jonah Williams,CIN,18
2.07935,5.9805,-6.07655,16.50585,2.45244,1.87926,7.89508,15.35385,1.91926,Jordan Mailata,PHI,19
1.82061,5.99742,-6.7852,15.76858,2.45226,1.86979,7.91603,15.43184,1.80313,Joseph Noteboom,LA,1
1.47931,5.98306,-6.75296,15.85595,2.4514,1.85332,7.89625,15.46813,1.89864,Josh Jones,ARI,5
1.80149,5.97597,-6.48582,16.09012,2.45027,1.86731,7.89102,15.08568,1.92768,Julien Davenport,IND,28
1.68967,5.97445,-6.38684,16.19558,2.4502,1.8614,7.89267,15.23871,1.91687,Justin Herron,NE,22
1.6523,5.97736,-6.26643,16.37293,2.45107,1.86081,7.88763,14.98649,1.88684,Justin Murray,ARI,6
1.88471,5.97636,-6.34597,16.25293,2.45089,1.87122,7.89154,15.29704,1.93294,Kaleb McGary,ATL,42
1.73647,5.97735,-6.46441,16.11266,2.45084,1.86526,7.89274,15.26512,1.90908,Kelvin Beachum,ARI,17
1.94628,5.9843,-6.36727,16.15739,2.4524,1.87533,7.89045,15.29231,1.88112,Kendall Lamm,TEN,5
1.98762,5.9768,-6.3152,16.25722,2.45095,1.87559,7.89117,15.04892,1.92277,Kolton Miller,LV,31
1.8473,5.97969,-6.41816,16.14409,2.45069,1.8702,7.8954,14.68222,1.90362,La'el Collins,DAL,9
1.99144,5.98616,-6.55013,16.09337,2.45137,1.87683,7.90122,15.30177,1.87114,Lachavious Simmons,CHI,3
1.94274,5.97793,-6.45071,16.11082,2.45119,1.87448,7.89317,15.29899,1.90424,Lane Johnson,PHI,11
2.19753,5.97795,-6.15389,16.45345,2.45183,1.88351,7.89257,15.5472,1.90825,Laremy Tunsil,HOU,17
1.91483,5.9768,-6.3332,16.22091,2.45122,1.87305,7.89199,15.18382,1.92664,Liam Eichenberg,MIA,30
1.82824,5.97808,-6.53685,16.04108,2.45207,1.86937,7.88934,14.7494,1.9042,Lucas Niang,KC,12
1.92019,5.97687,-6.36082,16.24971,2.4506,1.87337,7.8972,14.83143,1.91352,Marcus Cannon,HOU,15
1.84443,5.97661,-6.46246,16.11523,2.45103,1.86975,7.89132,15.16113,1.92842,Matt Nelson,DET,30
1.865,5.98057,-6.24674,16.36024,2.452,1.87051,7.89363,15.00524,1.90901,Matt Peart,NYG,10
1.49461,5.97704,-6.64123,15.93181,2.45032,1.8527,7.88677,14.9442,1.91458,Matt Pryor,IND,14
1.68638,5.98091,-6.52219,16.089,2.45179,1.86388,7.89321,14.97989,1.90857,Mekhi Becton,NYJ,9
1.35207,5.98205,-6.64122,15.89123,2.4511,1.8442,7.89164,15.77306,1.88432,Michael Onwenu,NE,4
1.87914,5.97724,-6.40626,16.11881,2.45115,1.87086,7.89298,14.81835,1.91696,Mike McGlinchey,SF,30
1.88509,5.97573,-5.97524,16.62219,2.44983,1.87074,7.89128,15.12819,1.89786,Mike Remmers,KC,11
2.15717,5.97588,-6.09824,16.49243,2.45083,1.88135,7.8913,15.27391,1.92219,Morgan Moses,NYJ,36
1.78103,5.9757,-6.43397,16.13842,2.45049,1.86644,7.89292,15.42986,1.92131,Nate Solder,NYG,34
1.55862,5.97528,-6.67178,15.92179,2.45025,1.85689,7.89095,15.07038,1.92414,Orlando Brown,KC,53
1.6508,5.97735,-6.87206,15.72189,2.45117,1.86114,7.89188,15.01932,1.92437,Patrick Mekari,BAL,27
1.70099,5.97766,-6.61059,15.97648,2.45128,1.86383,7.89373,14.95106,1.92888,Penei Sewell,DET,40
1.79228,5.97457,-6.36132,16.18768,2.45029,1.86691,7.88735,14.91831,1.9078,Rashawn Slater,LAC,21
1.61224,5.97665,-6.9112,15.68547,2.45129,1.86017,7.88813,14.90743,1.91885,Rashod Hill,MIN,33
1.68844,5.97786,-6.50429,16.04674,2.45155,1.86311,7.89066,15.18007,1.92404,Riley Reiff,CIN,24
1.99902,5.97797,-6.22569,16.3811,2.45101,1.87538,7.89604,15.62284,1.92142,Rob Havenstein,LA,23
1.67155,5.97601,-6.61032,15.92191,2.44972,1.86104,7.89612,15.42826,1.90026,Ronnie Stanley,BAL,6
2.11846,5.97638,-6.13176,16.47687,2.45092,1.87999,7.89113,14.79792,1.92253,Ryan Ramczyk,NO,22
2.17328,5.97653,-6.41142,16.21207,2.45068,1.88123,7.89572,14.84094,1.91916,Samuel Cosmi,WAS,25
1.50925,5.98084,-6.69827,15.92035,2.45179,1.85484,7.88762,14.84487,1.89224,Spencer Brown,BUF,8
1.78805,5.97708,-6.50097,16.08706,2.45103,1.86785,7.89422,15.45402,1.91789,Storm Norton,LAC,24
1.65173,5.97859,-6.55892,16.03962,2.45171,1.86161,7.88741,15.06219,1.91319,Taylor Lewan,TEN,25
1.94595,5.97807,-6.33377,16.27188,2.45205,1.87446,7.88904,15.32046,1.93057,Taylor Moton,CAR,37
2.11395,5.97911,-5.90727,16.66092,2.45167,1.88027,7.89374,15.29735,1.91544,Terence Steele,DAL,14
1.86708,5.97735,-6.39593,16.18488,2.45074,1.87061,7.88957,15.12613,1.92207,Terron Armstead,NO,13
1.71371,5.97679,-6.46476,16.09802,2.45041,1.86293,7.8924,15.21699,1.90996,Trent Williams,SF,15
2.91208,5.99945,-5.03974,17.60569,2.45384,1.9026,7.89023,14.7948,1.81043,Trenton Brown,NE,1
1.8111,5.97525,-6.62433,15.94948,2.45037,1.86764,7.89218,15.1867,1.9366,Tristan Wirfs,TB,29
1.6363,5.97928,-6.50392,16.06493,2.45138,1.86208,7.89411,15.09938,1.90401,Ty Sambrailo,TEN,6
2.15322,5.99417,-6.49221,16.2193,2.45051,1.88225,7.91518,14.98797,1.78752,Tyre Phillips,BAL,1
1.84101,5.97476,-6.38596,16.20428,2.45048,1.86895,7.88929,14.88617,1.9176,Tyron Smith,DAL,18
1.70658,5.98264,-6.11048,16.4419,2.45239,1.86466,7.89725,15.3001,1.87661,Yasir Durant,NE,4
1.76278,5.98466,-6.47472,16.13959,2.45165,1.86628,7.90352,15.02701,1.89391,Yodny Cajuste,NE,5
2.08894,5.977,-6.36473,16.22323,2.45029,1.87847,7.89724,15.03049,1.91554,Yosuah Nijman,GB,14