team,link
SF,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/49ers.png"" height=""35""></img>'"
CHI,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bears.png"" height=""30"" ></img>'"
CIN,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bengals.png"" height=""30""></img>'"
BUF,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bills.png"" height=""30"" ></img>'"
DEN,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/broncos.png"" height=""30""></img>'"
CLE,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/browns.png""  height=""30""></img>'"
TB,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bucs.png"" height=""30"" ></img>'"
ARI,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/cardinals.png"" height=""30"" ></img>'"
LAC,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/chargers.png""  height=""30""></img>'"
KC,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/chiefs.png""  height=""30""></img>'"
IND,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/colts.png"" height=""30"" ></img>'"
WAS,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/commanders.png"" height=""30"" ></img>'"
DAL,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/cowboys.png"" height=""30"" ></img>'"
MIA,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/dolphins.png""  height=""30""></img>'"
PHI,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/eagles.png""  height=""30""></img>'"
ATL,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/falcons.png""  height=""30""></img>'"
NYG,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/giants.png""  height=""30""></img>'"
JAX,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/jags.png""  height=""30""></img>'"
NYJ,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/jets.png""  height=""30""></img>'"
DET,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/lions.png""  height=""30""></img>'"
GB,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/packers.png""  height=""30""></img>'"
CAR,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/panthers.png""  height=""30""></img>'"
NE,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/pats.png""  height=""30""></img>'"
LV,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/raiders.png""  height=""30""></img>'"
LA,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/rams.png""  height=""30""></img>'"
BAL,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/ravens.png""  height=""30""></img>'"
NO,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/saints.png""  height=""30""></img>'"
SEA,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/seahawks.png""  height=""30""></img>'"
PIT,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/steelers.png""  height=""30""></img>'"
HOU,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/texans.png""  height=""30""></img>'"
TEN,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/titans.png""  height=""30""></img>'"
MIN,"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/vikings.png""  height=""30"" ></img>'"